STOPPOINTREF,VEHICLEREF,PROGRESSRATE,EXPECTEDDEPARTURETIME,EXPECTEDARRIVALTIME,ORIGINAIMEDDEPARTURETIME,AIMEDARRIVALTIME,RECORDEDATTIME,STOPPOINT,VISITNUMBER,DATAFRAMEREF,STOPPOINTNAME,JOURNEYPATTERNREF,DATEDVEHICLEJOURNEYREF,SITUATIONSIMPLEREF1,SITUATIONSIMPLEREF2,SITUATIONSIMPLEREF3,SITUATIONSIMPLEREF4,SITUATIONSIMPLEREF5,BEARING,OPERATORREF,DESTINATIONNAME,BLOCKREF,LINEREF,DIRECTIONREF,PUBLISHEDLINENAME,DESTINATIONREF,ORIGINREF,VEHICLELOCATIONLONGITUDE,VEHICLELOCATIONLATITUDE,ARRIVALPROXIMITYTEXT,DISTANCEFROMSTOP,NUMBEROFSTOPSAWAY,PROGRESSSTATUS,MONITORED,ESTIMATEDPASSENGERCAPACITY,ESTIMATEDPASSENGERCOUNT,DATE,TS,UUID,INGESTION_TIME,SOURCE_SYSTEM,PROCESSING_STATUS
MTA_305805,MTA NYCT_452,normalProgress,2025-08-07T18:12:33.023-04:00,2025-08-07T18:12:33.023-04:00,,2025-08-07T18:10:56.792-04:00,2025-08-07T18:11:27.000-04:00,,1,2025-08-07,VANDERBILT AV/BERGEN ST,MTA_B690017,MTA NYCT_JG_C5-Weekday-SDon-104800_B6769_916,MTA NYCT_lmm:planned_work:15892,,,,,71.408935547,MTA NYCT,DOWNTOWN BKLYN SANDS ST via VANDERBILT,MTA NYCT_JG_C5-Weekday-SDon_E_JG_52500_B6769-916,MTA NYCT_B69,0,B69,MTA_801047,MTA_306566,-73.968612671,40.678371429,< 1 stop away,156,0,,true,,,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:27.007,a66cfd0d-6983-4838-ad7e-b6c59ad583bb,2025-08-07 22:46:28.661,MTA_REALTIME,PROCESSED
MTA_700816,MTA NYCT_7432,noProgress,,,2025-08-07T18:12:00.000-04:00,2025-08-07T18:12:00.788-04:00,2025-08-07T18:11:25.000-04:00,,1,2025-08-07,168 ST/JAMAICA BUS TERMINAL,MTA_Q760178,MTA NYCT_CS_C5-Weekday-SDon-109200_Q76_508,,,,,,198.758651733,MTA NYCT,COLLEGE POINT,MTA NYCT_CS_C5-Weekday-SDon_E_CS_53700_Q76-508,MTA NYCT_Q76,0,Q76,MTA_502460,MTA_700816,-73.792961121,40.707660675,at stop,0,0,layover,true,80,12,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:27.007,065f2b8f-1b43-4b8c-b762-49a12ff03e27,2025-08-07 22:46:28.661,MTA_REALTIME,PROCESSED
MTA_503517,MTA NYCT_7431,normalProgress,2025-08-07T18:11:46.905-04:00,2025-08-07T18:11:46.905-04:00,,2025-08-07T18:09:00.784-04:00,2025-08-07T18:11:37.000-04:00,,1,2025-08-07,CORONA AV/JUNCTION BLVD,MTA_Q580612,MTA NYCT_CS_C5-Weekday-SDon-106800_Q58_425,,,,,,217.234832764,MTA NYCT,RIDGEWOOD TERMINAL via CORONA AV,,MTA NYCT_Q58,1,Q58,MTA_804230,MTA_701047,-73.867141724,40.7421875,at stop,8,0,,true,80,44,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:27.007,d92c3e4c-89f9-4c83-a43f-c753c9d5ebcf,2025-08-07 22:46:28.661,MTA_REALTIME,PROCESSED
MTA_500549,MTA NYCT_8762,normalProgress,2025-08-07T18:13:43.936-04:00,2025-08-07T18:13:43.936-04:00,,2025-08-07T18:22:23.780-04:00,2025-08-07T18:11:23.762-04:00,,1,2025-08-07,MERRICK BLVD/MONTAUK ST,MTA_Q050156,MTA NYCT_JA_C5-Weekday-SDon-106800_MISC_880,MTA NYCT_lmm:planned_work:26506,,,,,335.245056152,MTA NYCT,LAURELTON 233 ST via MERRICK BL,MTA NYCT_JA_C5-Weekday-SDon_E_JA_63420_MISC-880,MTA NYCT_Q5,0,Q5,MTA_700726,MTA_701017,-73.761955261,40.679840088,< 1 stop away,448,0,,true,80,8,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:27.006,b94845e0-6abb-486a-87b4-2129f04726af,2025-08-07 22:46:28.661,MTA_REALTIME,PROCESSED
MTA_306677,MTA NYCT_453,normalProgress,2025-08-07T18:11:46.905-04:00,2025-08-07T18:11:46.905-04:00,,2025-08-07T18:08:28.776-04:00,2025-08-07T18:11:33.000-04:00,,1,2025-08-07,GRAHAM AV/JOHNSON AV,MTA_B430010,MTA NYCT_JG_C5-Weekday-SDon-103600_B43_463,,,,,,99.975128174,MTA NYCT,GREENPOINT BOX ST,,MTA NYCT_B43,0,B43,MTA_305286,MTA_901736,-73.943138123,40.706916809,at stop,0,0,,true,,,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:27.006,2a54f409-5b3c-4873-9972-9d4fd9d40060,2025-08-07 22:46:28.661,MTA_REALTIME,PROCESSED
MTA_200550,MTA NYCT_8728,normalProgress,2025-08-07T18:11:46.905-04:00,2025-08-07T18:11:46.905-04:00,,2025-08-07T18:11:00.771-04:00,2025-08-07T18:11:36.000-04:00,,1,2025-08-07,VICTORY BLVD/FOREST AV,MTA_S620024,MTA NYCT_YU_C5-Weekday-SDon-107200_S6292_480,,,,,,39.313964844,MTA NYCT,ST GEORGE FERRY via VICTORY,MTA NYCT_YU_C5-Weekday-SDon_E_YU_59640_S6292-480,MTA NYCT_S62,0,S62,MTA_805014,MTA_203368,-74.089035034,40.630191803,at stop,19,0,,true,80,10,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:27.006,77eb005e-543e-4253-bcd7-c7a10b65fd1a,2025-08-07 22:46:28.661,MTA_REALTIME,PROCESSED
MTA_300892,MTA NYCT_440,normalProgress,2025-08-07T18:11:59.981-04:00,2025-08-07T18:11:59.981-04:00,,2025-08-07T17:53:19.766-04:00,2025-08-07T18:11:32.000-04:00,,1,2025-08-07,18 AV/49 ST,MTA_B80036,MTA NYCT_JG_C5-Weekday-SDon-101000_B8_149,MTA NYCT_lmm:planned_work:17935,,,,,225.149856567,MTA NYCT,BAY RIDGE 95 ST STA,MTA NYCT_JG_C5-Weekday-SDon_E_JG_58500_B8-149,MTA NYCT_B8,1,B8,MTA_901082,MTA_308313,-73.980697632,40.628593445,approaching,74,0,,true,,,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:27.006,76ce8822-133f-4d46-bf3f-dd2c4a7d736a,2025-08-07 22:46:28.661,MTA_REALTIME,PROCESSED
MTA_201181,MTA NYCT_8727,normalProgress,2025-08-07T18:11:47.879-04:00,2025-08-07T18:11:47.879-04:00,,2025-08-07T18:09:38.760-04:00,2025-08-07T18:11:43.000-04:00,,1,2025-08-07,HYLAN BLVD/HUGUENOT AV,MTA_S590053,MTA NYCT_YU_C5-Weekday-SDon-103500_MISC_749,,,,,,199.95526123,MTA NYCT,TOTTENVILLE,,MTA NYCT_S59,1,S59,MTA_905190,MTA_202744,-74.18585968,40.524055481,approaching,54,0,,true,80,8,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:27.005,211df46b-20ea-4a7f-a3fb-c18816592ff5,2025-08-07 22:46:28.661,MTA_REALTIME,PROCESSED
MTA_101193,MTA NYCT_8731,normalProgress,2025-08-07T18:11:57.937-04:00,2025-08-07T18:11:57.937-04:00,,2025-08-07T17:50:00.739-04:00,2025-08-07T18:11:37.000-04:00,,1,2025-08-07,BAINBRIDGE AV/JEROME AV,MTA_BX160021,MTA NYCT_GH_C5-Weekday-SDon-103300_BX16_316,,,,,,288.434936523,MTA NYCT,NORWOOD 205 ST STA via MUNDY LA,MTA NYCT_GH_C5-Weekday-SDon_E_GH_53940_BX16-316,MTA NYCT_BX16,1,Bx16,MTA_102030,MTA_101167,-73.878097534,40.887805939,approaching,136,0,,true,80,21,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:27.005,5827dc65-e9cc-463e-81b4-d56de3d2c363,2025-08-07 22:46:28.661,MTA_REALTIME,PROCESSED
MTA_503502,MTA NYCT_4378,normalProgress,,,,2025-08-07T17:49:44.735-04:00,2025-08-07T18:11:20.000-04:00,,1,2025-08-07,COLLEGE POINT BLVD/SANFORD AV,MTA_Q580612,MTA NYCT_CS_C5-Weekday-SDon-106800_Q58_425,,,,,,287.702178955,MTA NYCT,RIDGEWOOD TERMINAL via CORONA AV,MTA NYCT_CS_C5-Weekday-SDon_E_CS_12300_Q58-403,MTA NYCT_Q58,1,Q58,MTA_804230,MTA_701047,-73.833023071,40.754348755,at stop,0,0,,true,,,"Thu, 07 Aug 2025 22:12:22 GMT",2025-08-07 22:12:27.005,f59d44a3-bb8d-47de-8460-19f86e35cb31,2025-08-07 22:46:28.661,MTA_REALTIME,PROCESSED
